relative_path,size_bytes,modified_time_iso
Agam Satik Gujarati Anuwad/039_B035162_agam_satik_part_15_upaasakdasha_aadi_sutro_gujarati_anuwad_009006_std.pdf,54184741,2025-09-28T18:01:30.000Z
Agam Satik Gujarati Anuwad/040_B035163_agam_satik_part_16_vipak_aadi_sutro_gujarati_anuwad_009007_std.pdf,39998477,2025-09-28T18:01:26.000Z
Agam Satik Gujarati Anuwad/042_B035165_agam_18_jivajivabhigama_sutra_2_satik_gujarati_anuvad_009047_std.pdf,41720592,2025-09-28T18:01:28.000Z
Agam Satik Gujarati Anuwad/043_B035166_agam_19_jivajivabhigama_sutra_3_satik_gujarati_anuvad_009047_std.pdf,45558288,2025-09-28T18:01:28.000Z
Agam Satik Gujarati Anuwad/044_B035167_agam_20_pragnapana_sutra_1_satik_gujarati_anuvad_009048_std.pdf,37795466,2025-09-28T18:01:26.000Z
Agam Satik Gujarati Anuwad/045_B035168_agam_satik_part_21_pragnapana_sutra_gujarati_anuwad_2_009012_std.pdf,40510147,2025-09-28T18:01:26.000Z
Agam Satik Gujarati Anuwad/046_B035169_agam_satik_part_22_pragnapana_sutra_gujarati_anuwad_3_009013_std.pdf,40896654,2025-09-28T18:01:24.000Z
Agam Satik Gujarati Anuwad/047_B035170_agam_satik_part_23_suryapragnapti_sutra_gujarati_anuwad_1_009014_std.pdf,36693901,2025-09-28T18:01:26.000Z
Agam Satik Gujarati Anuwad/048_B035171_agam_17_chandrapragnapati_sutra_satik_gujarati_anuvad_009050_std_.pdf,5845992,2025-09-28T17:57:42.000Z
Agam Satik Gujarati Anuwad/049_B035172_agam_satik_part_25_jamboodwippragnapti_sutra_guj_anuwad_1_009016_std.pdf,37985515,2025-09-28T18:01:26.000Z
Agam Satik Gujarati Anuwad/050_B035173_agam_26_jambudwippragnapati_sutra_satik_gujarati_anuvad_009051_std.pdf,42044331,2025-09-28T18:01:24.000Z
Agam Satik Gujarati Anuwad/051_B035174_agam_satik_part_27_jamboodwippragnapti_sutra_guj_anuwad_3_009018_std.pdf,38677463,2025-09-28T18:01:24.000Z
Agam Satik Gujarati Anuwad/052_B035175_agam_satik_part_28_nirayavalika_aadi_sutra_guj_anuwad_1_009019_std.pdf,45508976,2025-09-28T18:01:24.000Z
Agam Satik Gujarati Anuwad/053_B035176_agam_satik_part_29_nisith_aadi_sutra_gujarati_anuwad_009020_hr.pdf,21151716,2025-09-28T18:01:22.000Z
Agam Satik Gujarati Anuwad/054_B035177_agam_satik_part_30_mahanisith_aadi_sutra_gujarati_anuwad_009021_hr.pdf,24430537,2025-09-28T17:58:58.000Z
Agam Satik Gujarati Anuwad/055_B035178_agam_satik_part_31_aavashyak_sutra_gujarati_anuwad_1_009022_std.pdf,44391352,2025-09-28T18:01:22.000Z
Agam Satik Gujarati Anuwad/056_B035179_agam_satik_part_32_aavashyak_sutra_gujarati_anuwad_2_009023_std.pdf,45261417,2025-09-28T18:01:22.000Z
Agam Satik Gujarati Anuwad/057_B035180_agam_satik_part_33_aavashyak_sutra_gujarati_anuwad_3_009024_std.pdf,40235064,2025-09-28T18:01:22.000Z
Agam Satik Gujarati Anuwad/058_B035181_agam_satik_part_34_aavashyak_sutra_gujarati_anuwad_4_009025_std.pdf,37855771,2025-09-28T17:57:04.000Z
Agam Satik Gujarati Anuwad/059_B035182_agam_satik_part_35_pindniryukti_aadi_sutra_gujarati_anuwad_009026_std.pdf,45522133,2025-09-28T18:01:22.000Z
Agam Satik Gujarati Anuwad/060_B035183_agam_42_dashvaikalik_sutra_satik_gujarati_anuvad_009079_std.pdf,17925522,2025-09-28T17:58:58.000Z
Agam Satik Gujarati Anuwad/061_B035184_agam_satik_part_37_uttaradhyanan_sutra_gujarati_anuwad_1_009028_hr.pdf,26968820,2025-09-28T18:01:20.000Z
Agam Satik Gujarati Anuwad/062_B035185_agam_satik_part_38_uttaradhyanan_sutra_gujarati_anuwad_2_009029_hr.pdf,24606487,2025-09-28T17:56:26.000Z
Agam Satik Gujarati Anuwad/063_B035187_agam_satik_part_40_nandi_sutra_gujarati_anuwad_009031_std.pdf,40991953,2025-09-28T18:00:52.000Z
Agam Satik Gujarati Anuwad/064_B035188_agam_45_anuyogadwar_sutra_satik_gujarati_anuvad_009082_std.pdf,55744071,2025-09-28T18:01:20.000Z
Agam Satik Gujarati Anuwad/065_B035189_kalpasutra_mool_gujarati_anuwad_009084_009033_std.pdf,24116819,2025-09-28T17:57:42.000Z
Agam Satik Gujarati Anuwad/agam_satik_part_01_acharanga_sutra_gujarati_anuwad_1_008992_std.pdf,2249354,2025-09-28T17:55:40.000Z
Agam Satik Gujarati Anuwad/agam_satik_part_02_acharanga_sutra_gujarati_anuwad_2_008993_std.pdf,2291167,2025-09-28T17:56:26.000Z
Agam Satik Gujarati Anuwad/agam_satik_part_04_suygadanga_sutra_gujarati_anuwad_2_008995_std.pdf,2189342,2025-09-28T17:55:40.000Z
Agam Satik Gujarati Anuwad/agam_satik_part_39_uttaradhyanan_sutra_gujarati_anuwad_3_009030_hr.pdf,9748620,2025-09-28T17:58:20.000Z
Agam Suttani/071_B009115_agam_sutra_satik_01_aachar_angsutra_01_003335_std.pdf,37530130,2025-09-28T17:55:40.000Z
Amrutvelni Moti Sazzay/024_amrutvel_sazzay_shantijin_ane_simandharswami_stavan_037125_hr6.pdf,22015992,2025-09-28T17:56:26.000Z
Anekantjaipataka/018_B041086_Anekant_jai_pataka_Part_02_005533_HR6_अनेकांतजयपताका भाग-2.pdf,103348376,2025-09-28T18:00:48.000Z
Anekantjaipataka/019_B041087_Anekant_jai_pataka_Part_03_005534_HR6_अनेकांतजयपताका भाग-3.pdf,69371022,2025-09-28T17:59:48.000Z
Anekantjaipataka/020_B041088_anekant_jai_pataka_part_04_005535_std.pdf,42820669,2025-09-28T17:58:56.000Z
Anekantjaipataka/021_B041089_Anekant_jai_pataka_Part_05_005536_HR6_अनेकांतजयपताका भाग-5.pdf,85745961,2025-09-28T17:59:48.000Z
Anekantjaipataka/022_B041085_Anekant_jai_pataka_Part_01_005532_HR6_अनेकांतजयपताका भाग-1.pdf,86886787,2025-09-28T17:58:56.000Z
Anuyogdwar Sutra/014_agam_45_chulika_02_anuyogdwar_sutra_part02_001107_hr.pdf,104481951,2025-09-28T18:01:12.000Z
Anuyogdwar Sutra/015_agam_45_chulika_02_anuyogdwar_sutra_part01_001106_hr.pdf,97440316,2025-09-28T18:01:12.000Z
Aradhak Viradhak Chaturbhangi/082_B002010_Aradhak_Viradhak_Chaturbhangi_Shabdasha_Vivechan_005731_HR6.pdf,14345741,2025-09-28T17:55:18.000Z
Ashat Sahasstri/026_B006722_Ashat Sahasstri-2.pdf,96437598,2025-09-28T18:00:52.000Z
Ashtak Prakaran/025_ashtak_prakaran_022090_hr6.pdf,81334554,2025-09-28T18:00:50.000Z
Aturpratyakhyan sutra/072_agam_25_prakirnak_02_atur_pratyakhyan_sutra_002562_hr.pdf,80696815,2025-09-28T18:00:50.000Z
Avashyak Niryukti/073_avashyak_niryukti_part_01_005753_hr6.pdf,89999057,2025-09-28T17:59:54.000Z
Avashyak Niryukti/074_avashyak_niryukti_part_02_005754_hr6.pdf,93412587,2025-09-28T18:00:44.000Z
Avashyak Niryukti/075_B036962_Avashyak_Niryukti_Part_03_005755_HR6.pdf,93008346,2025-09-28T17:59:52.000Z
Avashyak Niryukti/076_avashyak_niryukti_part_04_005756_hr6.pdf,99581611,2025-09-28T18:00:44.000Z
Avashyak Niryukti/077_B040488_Avashyak_Niryukti_Part_05_005757_HR6.pdf,89083359,2025-09-28T17:59:54.000Z
Avashyak Niryukti/078_avashyak_niryukti_part_06_005758_hr6.pdf,95687540,2025-09-28T18:00:42.000Z
Avashyak Niryukti/079_avashyak_niryukti_part_07_005759_hr6.pdf,81121597,2025-09-28T17:58:56.000Z
Avashyak sutram/080_B057956_आवश्यकसूत्रम् विभाग 1.pdf,321306193,2025-09-28T17:57:02.000Z
Avashyak sutram/081_B057960_आवश्यकसूत्रम् विभाग 2.pdf,229355678,2025-09-28T17:56:14.000Z
Bhasha Rahasya Prakaran/229_bhasha_rahasya_prakaran_part_01_022031_hr6.pdf,47344425,2025-09-28T17:58:52.000Z
Bhasha Rahasya Prakaran/230_bhasha_rahasya_prakaran_part_02_022032_hr6.pdf,40308160,2025-09-28T17:58:52.000Z
Bruhatkalpa Sutra/232_agam_35_chhed_02_bruhatkalpa_sutra_part02_002511_hr.pdf,65060645,2025-09-28T17:59:50.000Z
Bruhatkalpa Sutra/233_agam_35_chhed_02_bruhatkalpa_sutra_part03_002512_hr.pdf,59771454,2025-09-28T17:58:54.000Z
Bruhatkalpa Sutra/234_agam_35_chhed_02_bruhatkalpa_sutra_part04_002513_hr.pdf,71638125,2025-09-28T17:59:50.000Z
Bruhatkalpa Sutra/235_agam_35_chhed_02_bruhatkalpa_sutra_part05_002514_hr.pdf,56380331,2025-09-28T17:58:52.000Z
Bruhatkalpa Sutra/236_agam_35_chhed_02_bruhatkalpa_sutra_part06_002515_hr.pdf,59433356,2025-09-28T17:58:52.000Z
Bruhatkalpa Sutra/agam_35_chhed_02_bruhatkalpa_sutra_part01_002510_hr.pdf,17851645,2025-09-28T17:57:04.000Z
Charitra Sara/115_B029791_Charitra_Sara_003102_चारित्रसार.pdf,6413189,2025-09-28T17:55:18.000Z
